,precision,recall,f1-score,support
apoyo,0.44285714285714284,0.4714828897338403,0.45672191528545114,263.0
competencia,0.3203592814371258,0.4099616858237548,0.35966386554621854,261.0
construccion,0.6437125748502994,0.7214765100671141,0.680379746835443,298.0
corrupcion,0.5221674876847291,0.37992831541218636,0.4398340248962655,279.0
economia,0.5430711610486891,0.6359649122807017,0.5858585858585857,228.0
exterior,0.6274509803921569,0.5755395683453237,0.600375234521576,278.0
historia,0.7682926829268293,0.37058823529411766,0.5,170.0
opinion,0.31446540880503143,0.38022813688212925,0.3442340791738382,263.0
salud,0.6851851851851852,0.43529411764705883,0.5323741007194245,85.0
seguridad,0.6311475409836066,0.6260162601626016,0.6285714285714286,246.0
accuracy,0.5107549557148883,0.5107549557148883,0.5107549557148883,0.5107549557148883
macro avg,0.5498709446170796,0.5006480631648829,0.5128012981408231,2371.0
weighted avg,0.5325453686630367,0.5107549557148883,0.5125900445870326,2371.0
