Texto,Clasificacion
"También vamos a informar este primer día hábil del año 2023 sobre la dispersión de los fondos para los adultos mayores, que va a iniciar esta semana. Y queremos informar porque ya son muchos y cuando no hay información, están inquietos, esperando que lleguen sus pensiones que por derecho la corresponden.",apoyo
"Y ahora se va a informar porque se está optando por un calendario de acuerdo a las letras del primer apellido, la primera letra del primer apellido, para que vayan al banco cuando les toque. Y esto va a ayudar mucho, porque ya estamos hablando de millones de adultos mayores, y hay además otros beneficiarios que también tienen que llegar a los bancos.",apoyo
"En esta etapa se combinan los bancos particulares, comerciales, con el Banco del Bienestar, pero hacia adelante ya va a ser sólo el Banco del Bienestar. También sobre cómo se va a llevar a cabo esta transición se va a ir informando. Y es un proceso, no es de un día para otro.",apoyo
"También Ariadna Montiel, que es la secretaria de Bienestar, va a informarnos hoy sobre cuándo empiezan los pagos, que todavía se tienen que hacer en efectivo porque son comunidades muy apartadas, en donde estamos en proceso de construcción y de operación de Bancos del Bienestar. Pero todavía, de los cerca de tres mil sucursales, tenemos ya como dos mil 300, dos 500 terminadas, vamos por 500, este primer semestre vamos a terminar.",apoyo
"Pero tenerlas terminadas no significa tenerlas operando, porque se requiere tener cajeros, se requiere comunicación, se requiere, pues, que funcionen. Entonces, nos va a llevar toda la primera mitad de este año que ya estén las tres mil sucursales del Banco del Bienestar, entonces sí ya no se va a pagar en efectivo y va a estar muy cerca la sucursal del banco de la gente.",apoyo
"También lo ocurrido ayer en Chihuahua, en Ciudad Juárez. Les adelanto, va a haber una conferencia de prensa a las 11:00 por parte del Gabinete de Seguridad aquí mismo para informarles sobre todo lo sucedido. Se está también esperando que informe más el gobierno del estado de Chihuahua, que ya lo está haciendo, pero para informar por completo a las 11:00 de la mañana, aquí mismo va a estar el Gabinete de Seguridad.",seguridad
" Bueno, ahora que estuvo con nosotros el gobernador Alfredo del Mazo se habló del tema, él informó, están conscientes de que hace falta más actividad, más acciones, en lo que tiene que ver con el feminicidio y dio a conocer el que ya están aplicándose en esta necesidad de garantizar la paz, la tranquilidad, el que no se agredan a las mujeres, que no haya feminicidios.",seguridad
"Y vamos a estar nosotros pendientes. Mañana vamos a informar sobre seguridad a nivel del país, pero va a estar la secretaria de Seguridad Pública, Rosa Icela Rodríguez, y ella puede ampliar la información sobre lo que está sucediendo en el Estado de México.",seguridad
"Quiero decir que tenemos muy buena relación con el gobierno del Estado de México, que consideramos que está funcionando bien la fiscalía del Estado de México, y un ejemplo reciente es que se revisó el caso de una persona que atropelló a un peatón, un trabajador de la calle, alguien que se buscaba la vida vendiendo tamales y que se le había dado la libertad. Y se planteó aquí, y le agradecemos mucho al gobierno del Estado de México, a la fiscalía, que retomaron el caso y se volvió a detener a esta persona. Porque fue muy comentado, hablándose de influyentismo, y ya hemos llegado a la conclusión, y así lo demuestran los hechos, que no se permite el influyentismo ni en el gobierno federal y en este caso en gobiernos estatales, como quedó demostrado en el caso del gobierno del Estado de México. Por eso mi reconocimiento a lo que hicieron.",opinion
" No, pero si podemos ayudar orientando a los pensionados, nos ponemos de acuerdo, que vengan aquí y nosotros les ayudamos en la gestión. Si es algo que tenga que ver con lo federal, tiene que atenderse, tiene que haber justicia; si es un asunto del estado, hacemos la gestión, el trámite. Y repito, tenemos muy buena relación con el gobierno del Estado de México.",opinion
"Primero, en la fortaleza cultural de nuestro pueblo, de ahí viene todo, de ahí dimana nuestra fortaleza para resistir cualquier calamidad, llámese pandemia, crisis económica, malos gobiernos, huracanes, temblores.",opinion
"No hemos valorado lo suficiente la importancia que tiene el haber heredado virtudes de las sociedades prehispánicas, yo creo que hay que replantearnos eso. Porque nos hemos limitado a estudiar la historia de México y sus culturas a partir de la llegada de los europeos, a partir de la invasión de España, que son 500 años, pero este país tiene culturas y civilizaciones milenarias.",opinion
"México no se fundó con la llegada de los españoles hace 500 años; es más, ni siquiera se fundó a partir de la llegada de los mexicas a lo que hoy es la Ciudad de México, antes Tenochtitlan, porque eso se da 200 años antes de la llegada de los europeos, 1322, 1323, de acuerdo a las investigaciones arqueológicas, históricas.",opinion
"Pero estuve ahora en Palenque y resulta que ese sitio arqueológico se construye mil años antes de que llegaran los españoles. Y ahí está el arte, ahí está el conocimiento de la astronomía, de las matemáticas, de la arquitectura, de la ciencia. Y más atrás la cultura madre, la cultura olmeca, 900 años antes de Cristo. Entonces, imagínense lo que heredamos, históricamente eso es lo que nos ha salvado siempre.",opinion
"Y lo otro es nuestro proceso histórico, que es de los más importantes y fecundos en el mundo, por eso los neoliberales querían que ya no se hablara de historia, cuando impusieron su modelo neoliberal hablaron del fin de la historia.",opinion
"Pues, cómo a un conservador le va a gustar que se recuerde a Hidalgo, si planteó la abolición de la esclavitud y los realistas de ese entonces se oponían, toda la llamada clase gobernante. Y lo asesinan, y le cortan la cabeza y la exhiben como escarmiento 10 años en la plaza de Guanajuato. Imagínense el odio de tener la cabeza del padre de nuestra patria, del cura Hidalgo, 10 años. Cómo van a querer que se hable de eso.",opinion
"Yo estoy seguro que la mayoría de los mexicanos no lo sabía, de que habían asesinado al padre Hidalgo, que le cortaron la cabeza y luego la exhibieron 10 años. Al contrario, lo que hicieron durante el periodo neoliberal hasta financiaban películas para distorsionar la historia y proyectar una imagen de Hidalgo distinta y lo mismo hicieron con Morelos.",opinion
"Todavía recuerdo, creo que fue en los 80 que un buen actor, presentaron una obra de Morelos, El martirio de Morelos, una obra de teatro, pero ya no volví a ver nada de Morelos. Y Juárez.",opinion
¿Pero dónde están los Hidalgos en el mundo? ¿Dónde están los Morelos? ¿Dónde están los Juárez? ¿Dónde están los Maderos? ¿Dónde están los Villas? ¿Dónde están los Zapatas? ¿Dónde está el general Cárdenas? ¿Cuáles son los gobiernos como los del general Cárdenas en el mundo?,opinion
"Porque tenemos todo ese bagaje, todo ese legado que nos guía. Y por eso tenemos un pueblo excepcional, un pueblo bueno, un pueblo fraterno, solidario, trabajador.",opinion
"No. Sí, en la mayoría de los pueblos del mundo hay humanismo, hay fraternidad, pero lo nuestro es algo excepcional, el humanismo mexicano.",opinion
"Entonces, por eso creo que vamos a salir adelante, que se va a consolidar nuestra economía este año, que vamos a seguir creciendo, que vamos a seguir manteniendo equilibrios macroeconómicos, que vamos a tener buena recaudación, que como no se permite la corrupción y no se permite el que haya lujos en el gobierno el presupuesto nos va a alcanzar, rinde.",economia
